datetime,open,high,low,close,volume,Predictions,Signals
01-01-2018 05:30,13715.65,13715.65,13400.01,13529.01,443.356199,,0
01-01-2018 06:30,13528.99,13595.89,13155.38,13203.06,383.697006,,0
01-01-2018 07:30,13203.0,13418.43,13200.0,13330.18,429.064572,,0
01-01-2018 08:30,13330.26,13611.27,13290.0,13410.03,420.08703,,0
01-01-2018 09:30,13434.98,13623.29,13322.15,13601.01,340.807329,,0
01-01-2018 10:30,13615.2,13699.0,13526.5,13558.99,404.229046,,0
01-01-2018 11:30,13539.0,13800.0,13510.0,13780.41,264.989684,,0
01-01-2018 12:30,13780.0,13818.55,13555.02,13570.35,292.188777,,0
01-01-2018 13:30,13569.98,13735.24,13400.0,13499.99,271.813553,,0
01-01-2018 14:30,13499.97,13670.0,13459.11,13616.99,213.095829,,0
01-01-2018 15:30,13632.0,13657.92,13497.98,13570.01,169.512196,,0
01-01-2018 16:30,13573.0,13589.89,13001.13,13220.56,665.334353,,0
01-01-2018 17:30,13220.56,13300.0,13056.23,13172.42,260.492708,,0
01-01-2018 18:30,13150.05,13200.41,12815.7,13017.0,451.901126,,0
01-01-2018 19:30,12999.71,13245.0,12750.0,13211.39,692.467362,,0
01-01-2018 20:30,13211.39,13330.0,13120.38,13247.0,427.071957,,0
01-01-2018 21:30,13247.0,13247.08,12966.42,13018.0,367.393566,,0
01-01-2018 22:30,13018.0,13198.98,13000.0,13022.0,228.572028,,0
01-01-2018 23:30,13007.87,13256.28,12940.0,13135.0,244.366755,,0
02-01-2018 00:30,13135.0,13290.65,13106.61,13240.37,252.004885,,0
02-01-2018 01:30,13222.03,13472.0,13222.03,13399.24,412.026868,,0
02-01-2018 02:30,13399.23,13580.67,13380.82,13481.01,326.923135,,0
02-01-2018 03:30,13494.99,13599.7,13450.96,13452.0,303.301385,,0
02-01-2018 04:30,13455.24,13500.0,13355.01,13380.0,345.218495,,0
02-01-2018 05:30,13382.16,13850.0,13382.16,13750.01,466.596114,,0
02-01-2018 06:30,13769.98,13800.0,13590.0,13600.0,517.461925,,0
02-01-2018 07:30,13611.93,13678.33,13398.0,13522.0,714.534781,,0
02-01-2018 08:30,13520.32,13539.98,13231.96,13353.78,666.940106,,0
02-01-2018 09:30,13353.78,13480.84,12890.02,13127.31,992.418927,,0
02-01-2018 10:30,13129.03,13244.99,13090.7,13166.95,600.002711,,0
02-01-2018 11:30,13166.95,13338.66,13041.5,13255.98,722.310035,,0
02-01-2018 12:30,13256.07,13359.98,13150.0,13343.0,665.58438,,0
02-01-2018 13:30,13343.01,13440.0,13302.59,13326.09,745.643663,,0
02-01-2018 14:30,13342.97,13523.46,13326.1,13452.0,511.54277,,0
02-01-2018 15:30,13460.0,13617.28,13401.6,13560.0,654.454591,,0
02-01-2018 16:30,13566.5,13573.0,13401.05,13490.0,684.54165,,0
02-01-2018 17:30,13490.0,13590.0,13450.46,13489.04,671.205943,,0
02-01-2018 18:30,13489.04,13875.0,13470.41,13864.98,1036.83633,,0
02-01-2018 19:30,13864.95,13894.86,13630.0,13664.4,705.180727,,0
02-01-2018 20:30,13661.21,13739.89,13510.0,13690.03,952.656508,,0
02-01-2018 21:30,13690.02,13842.88,13584.99,13590.02,1020.856756,,0
02-01-2018 22:30,13599.99,13799.65,13503.0,13780.0,817.501105,,0
02-01-2018 23:30,13789.98,14750.0,13755.43,14580.0,1573.60355,,0
03-01-2018 00:30,14576.87,15473.49,14480.0,14732.75,1678.312072,,0
03-01-2018 01:30,14710.02,15160.31,14710.0,14751.0,1150.528492,,0
03-01-2018 02:30,14751.0,14944.99,14544.0,14692.4,906.843821,,0
03-01-2018 03:30,14700.0,15025.0,14685.01,14799.96,858.185273,,0
03-01-2018 04:30,14799.97,14887.08,14600.0,14675.11,764.349881,,0
03-01-2018 05:30,14690.0,14926.22,14660.0,14774.53,661.468616,,0
03-01-2018 06:30,14758.01,14853.53,14660.0,14820.0,788.317514,,0
03-01-2018 07:30,14847.97,15119.9,14744.99,15008.07,822.858852,,0
03-01-2018 08:30,15008.07,15299.99,14750.0,14818.49,1031.188608,,0
03-01-2018 09:30,14805.81,15117.56,14795.05,15019.66,781.021342,,0
03-01-2018 10:30,15031.01,15114.98,14900.0,14988.0,860.383177,,0
03-01-2018 11:30,14980.89,15276.13,14858.01,15242.63,908.687696,,0
03-01-2018 12:30,15242.64,15307.56,15130.24,15170.0,661.609852,,0
03-01-2018 13:30,15170.0,15172.99,14900.0,15002.59,895.934758,,0
03-01-2018 14:30,15002.59,15048.0,14440.0,14519.99,1241.904776,,0
03-01-2018 15:30,14501.05,14855.0,14150.0,14455.55,1271.034018,,0
03-01-2018 16:30,14455.55,14771.84,14200.0,14730.05,793.92939,,0
03-01-2018 17:30,14764.73,14799.0,14400.04,14450.0,614.534955,14792.2392578125,0
03-01-2018 18:30,14469.0,14890.0,14401.07,14855.02,380.592932,14620.873046875,0
03-01-2018 19:30,14859.98,15045.51,14758.0,14790.11,581.690557,14704.326171875,0
03-01-2018 20:30,14812.97,15033.77,14790.13,15033.77,505.915681,14652.5224609375,0
03-01-2018 21:30,15045.0,15130.0,14901.93,15010.06,477.866959,14736.236328125,0
03-01-2018 22:30,15011.0,15057.2,14779.83,14800.0,389.080093,14881.71484375,0
03-01-2018 23:30,14800.0,14899.86,14697.99,14749.97,430.999286,14837.8154296875,0
04-01-2018 00:30,14710.0,14846.13,14671.0,14700.01,361.751015,14871.0146484375,0
04-01-2018 01:30,14700.01,14950.0,14683.0,14926.01,343.677881,14766.14453125,0
04-01-2018 02:30,14939.11,14990.0,14830.0,14926.96,191.636316,14838.556640625,0
04-01-2018 03:30,14926.96,14949.0,14799.64,14799.91,260.659165,14729.1396484375,0
04-01-2018 04:30,14792.32,14940.82,14710.0,14919.51,648.9242,14812.1513671875,0
04-01-2018 05:30,14919.51,14948.0,14710.25,14753.76,820.84674,14807.2265625,0
04-01-2018 06:30,14765.65,15179.0,14649.99,15172.12,1181.627263,14900.66015625,0
04-01-2018 07:30,15175.0,15280.0,15059.0,15110.9,1055.426462,14991.42578125,0
04-01-2018 08:30,15110.9,15119.98,15110.9,15119.97,4.635181,15016.6181640625,0
04-01-2018 10:30,15119.97,15119.97,14730.0,14875.1,888.843951,14984.3671875,0
04-01-2018 11:30,14890.0,15100.0,14850.01,14899.01,867.618392,15015.2958984375,0
04-01-2018 12:30,14899.01,14900.0,14685.0,14748.0,1083.438099,15006.8984375,0
04-01-2018 13:30,14734.07,14800.0,14211.69,14221.05,1207.568042,14923.5654296875,0
04-01-2018 14:30,14221.05,14410.05,13918.04,14299.01,1121.48775,14628.314453125,1
04-01-2018 15:30,14299.01,14523.94,14214.8,14429.0,1037.040763,14584.84765625,0
04-01-2018 16:30,14427.0,14571.78,14280.0,14539.97,973.455496,14460.6943359375,0
04-01-2018 17:30,14539.99,14653.4,14181.88,14398.97,915.408594,14417.896484375,-1
04-01-2018 18:30,14398.97,14600.02,14360.01,14518.95,872.818456,14447.884765625,0
04-01-2018 19:30,14518.95,14600.8,14404.99,14513.06,962.798872,14441.9248046875,0
04-01-2018 20:30,14501.05,14534.58,14270.01,14353.01,1209.805263,14509.111328125,0
04-01-2018 21:30,14367.99,14494.99,14238.01,14469.97,1129.730622,14336.337890625,0
04-01-2018 22:30,14469.97,14648.89,14400.97,14648.89,865.628274,14360.791015625,0
04-01-2018 23:30,14648.0,14864.0,14630.0,14811.0,779.049764,14448.3447265625,0
05-01-2018 00:30,14805.01,14988.0,14720.05,14895.19,862.207466,14607.1591796875,0
05-01-2018 01:30,14905.0,15011.0,14722.65,14799.02,1127.962286,14661.8095703125,0
05-01-2018 02:30,14799.01,14944.97,14733.03,14797.88,707.223774,14650.4111328125,0
05-01-2018 03:30,14797.89,14979.0,14601.0,14939.39,762.293702,14608.8759765625,0
05-01-2018 04:30,14895.95,15100.08,14774.25,15059.54,892.734362,14768.0830078125,0
05-01-2018 05:30,15059.56,15096.99,14802.0,14906.01,701.283048,14948.6015625,0
05-01-2018 06:30,14908.01,15100.0,14847.35,15040.0,922.722973,14948.83203125,0
05-01-2018 07:30,15038.04,15200.0,15038.04,15098.11,985.850712,14953.3046875,0
05-01-2018 08:30,15098.12,15180.0,14642.0,14965.37,1015.117957,14945.05078125,0
05-01-2018 09:30,14970.0,15083.63,14600.0,14820.05,947.316775,15001.8623046875,0
05-01-2018 10:30,14820.05,15038.75,14756.0,15000.0,863.362834,14886.173828125,0
05-01-2018 11:30,14999.0,15020.0,14700.0,14952.34,779.698664,14941.48828125,0
05-01-2018 12:30,14952.34,14979.78,14822.32,14920.14,844.120506,14975.251953125,0
